r_t,a_t,s_t,s_t_p_1,id_simulation
-1.7779563064676698,"(2, 3)","(1, 13)","(1, 14)",1
-5.805827187878436,"(1, 3)","(1, 14)","(1, 15)",1
-1.0,"(0, 2)","(1, 15)","(1, 15)",1
-1.7779563064676698,"(2, 4)","(1, 15)","(1, 14)",1
-3.0603239350443747,"(2, 1)","(1, 14)","(2, 14)",1
-5.350107235505418,"(1, 3)","(2, 14)","(2, 15)",1
-1.0,"(0, 1)","(2, 15)","(2, 15)",1
-1.0,"(0, 4)","(2, 15)","(2, 15)",1
-1.396058601922328,"(3, 1)","(13, 9)","(14, 9)",2
-1.0,"(0, 4)","(14, 9)","(14, 9)",2
-1.7346236499340826,"(2, 2)","(14, 9)","(13, 9)",2
-1.0,"(0, 1)","(13, 9)","(13, 9)",2
-1.0,"(0, 4)","(13, 9)","(13, 9)",2
-3.5443983546106477,"(1, 4)","(13, 9)","(13, 8)",2
-1.1564157666227217,"(3, 3)","(13, 8)","(13, 9)",2
-2.0474754805272886,"(3, 2)","(13, 9)","(12, 9)",2
-2.8802704351044217,"(2, 4)","(12, 9)","(12, 8)",2
-2.325889505891544,"(2, 4)","(12, 8)","(12, 7)",2
-6.731487368909437,"(1, 4)","(12, 7)","(12, 6)",2
-5.63182933432345,"(1, 4)","(12, 6)","(12, 5)",2
-2.9267812009092267,"(2, 2)","(12, 5)","(11, 5)",2
-1.0,"(0, 1)","(11, 5)","(11, 5)",2
-1.0,"(0, 1)","(11, 5)","(11, 5)",2
-1.8772764447744832,"(3, 1)","(11, 5)","(12, 5)",2
-1.0,"(0, 4)","(12, 5)","(12, 5)",2
-1.0,"(0, 4)","(12, 5)","(12, 5)",2
-1.0,"(0, 1)","(12, 5)","(12, 5)",2
-1.8004475291033817,"(2, 4)","(12, 5)","(12, 4)",2
-3.4927163816763658,"(2, 4)","(2, 3)","(2, 2)",3
-1.8221706064621126,"(3, 3)","(2, 2)","(2, 3)",3
-2.4255254256749343,"(2, 3)","(2, 3)","(2, 4)",3
-2.0741538590484963,"(2, 2)","(2, 4)","(1, 4)",3
-1.0,"(0, 3)","(1, 4)","(1, 4)",3
-2.817130179594781,"(2, 2)","(1, 4)","(0, 4)",3
-4.1483077180969925,"(1, 1)","(0, 4)","(1, 4)",3
-2.4255254256749343,"(2, 1)","(1, 4)","(2, 4)",3
-2.0741538590484963,"(2, 2)","(2, 4)","(1, 4)",3
-1.6808868891236817,"(3, 4)","(1, 4)","(1, 3)",3
-2.733255909693169,"(2, 1)","(1, 3)","(2, 3)",3
-1.6808868891236817,"(3, 2)","(2, 3)","(1, 3)",3
-1.8221706064621126,"(3, 1)","(1, 3)","(2, 3)",3
-4.502350625536212,"(1, 1)","(2, 3)","(3, 3)",3
-1.0,"(0, 2)","(3, 3)","(3, 3)",3
-5.466511819386338,"(1, 2)","(3, 3)","(2, 3)",3
-5.042660667371045,"(1, 2)","(2, 3)","(1, 3)",3
-1.6199429920715591,"(3, 4)","(1, 3)","(1, 2)",3
-1.1219266070351435,"(3, 2)","(1, 2)","(0, 2)",3
-2.611802960236611,"(2, 4)","(0, 2)","(0, 1)",3
-5.38972621599632,"(1, 1)","(0, 1)","(1, 1)",3
-2.0227686649085563,"(3, 4)","(1, 1)","(1, 0)",3
-20.0,"(1, 4)","(1, 0)","(1, 0)",3
-1.7965754053321066,"(3, 3)","(1, 0)","(1, 1)",3
-5.223605920473222,"(1, 2)","(1, 1)","(0, 1)",3
-1.7965754053321066,"(3, 1)","(0, 1)","(1, 1)",3
-1.0,"(0, 3)","(1, 1)","(1, 1)",3
-2.611802960236611,"(2, 2)","(1, 1)","(0, 1)",3
-5.38972621599632,"(1, 1)","(0, 1)","(1, 1)",3
-3.0341529973628343,"(2, 4)","(1, 1)","(1, 0)",3
-40.0,"(2, 4)","(1, 0)","(1, 0)",3
-1.0,"(0, 4)","(1, 0)","(1, 0)",3
-1.0,"(0, 4)","(1, 0)","(1, 0)",3
-1.0,"(0, 4)","(1, 0)","(1, 0)",3
-1.0,"(0, 4)","(1, 0)","(1, 0)",3
-60.0,"(3, 4)","(1, 0)","(1, 0)",3
-1.0,"(0, 3)","(1, 0)","(1, 0)",3
-60.0,"(3, 4)","(1, 0)","(1, 0)",3
-2.009602024839667,"(3, 2)","(1, 0)","(0, 0)",3
-6.068305994725669,"(1, 1)","(0, 0)","(1, 0)",3
